Date,Short Volume,Total Volume
2017-12-12,85523.0,146074.0
2017-12-13,78469.0,182745.0
2017-12-14,137332.0,278429.0
2017-12-15,139399.0,360307.0
2017-12-18,77856.0,200166.0
2017-12-19,107011.0,244060.0
2017-12-20,70842.0,173234.0
2017-12-21,83353.0,173621.0
2017-12-22,67500.0,171616.0
2017-12-26,57832.0,143940.0
2017-12-27,58323.0,136281.0
2017-12-28,157575.0,318492.0
2017-12-29,84758.0,200152.0
2018-01-02,168283.0,375046.0
2018-01-03,103514.0,270225.0
2018-01-04,109915.0,243533.0
2018-01-05,158912.0,321538.0
2018-01-08,104831.0,201872.0
2018-01-09,112152.0,205941.0
2018-01-10,95763.0,204204.0
2018-01-11,105993.0,218841.0
2018-01-12,201936.0,351109.0
2018-01-16,190662.0,375029.0
2018-01-17,156812.0,310891.0
2018-01-18,96570.0,251652.0
2018-01-19,124558.0,356740.0
2018-01-22,169176.0,437194.0
2018-01-23,480866.0,859399.0
2018-01-24,295851.0,652658.0
2018-01-25,273056.0,518089.0
2018-01-26,218536.0,366661.0
2018-01-29,308754.0,605452.0
2018-01-30,220609.0,432758.0
2018-01-31,184940.0,351859.0
2018-02-01,157567.0,326464.0
2018-02-02,195428.0,354484.0
2018-02-05,216838.0,462245.0
2018-02-06,277911.0,514813.0
2018-02-07,185368.0,364286.0
2018-02-08,201349.0,389855.0
2018-02-09,670483.0,1165757.0
2018-02-12,189553.0,367613.0
2018-02-13,118598.0,283892.0
2018-02-14,197299.0,473317.0
2018-02-15,246424.0,538917.0
2018-02-16,226254.0,474172.0
2018-02-20,190257.0,426518.0
2018-02-21,255085.0,514861.0
2018-02-22,219908.0,435141.0
2018-02-23,171560.0,384061.0
2018-02-26,165969.0,394597.0
2018-02-27,278059.0,503303.0
2018-02-28,180992.0,339012.0
2018-03-01,433220.0,802323.0
2018-03-02,460848.0,921390.0
2018-03-05,539377.0,923742.0
2018-03-06,509695.0,837834.0
2018-03-07,480722.0,732029.0
2018-03-08,342894.0,534043.0
2018-03-09,367772.0,617273.0
2018-03-12,500674.0,794179.0
2018-03-13,503142.0,749876.0
2018-03-14,299974.0,442650.0
2018-03-15,167807.0,282316.0
2018-03-16,175504.0,316832.0
2018-03-19,288212.0,483501.0
2018-03-20,175217.0,311927.0
2018-03-21,146823.0,245325.0
2018-03-22,284999.0,447636.0
2018-03-23,416025.0,660196.0
2018-03-26,348185.0,618062.0
2018-03-27,423930.0,754765.0
2018-03-28,765618.0,1245944.0
2018-03-29,866404.0,1437110.0
2018-04-02,599404.0,975264.0
2018-04-03,468034.0,768771.0
2018-04-04,398058.0,669488.0
2018-04-05,343969.0,586490.0
2018-04-06,359775.0,578135.0
2018-04-09,239680.0,400085.0
2018-04-10,374480.0,620999.0
2018-04-11,310208.0,561709.0
2018-04-12,191559.0,365136.0
2018-04-13,329337.0,581309.0
2018-04-16,394758.0,727751.0
2018-04-17,692151.0,1143804.0
2018-04-18,265652.0,491411.0
2018-04-19,209547.0,390178.0
2018-04-20,245481.0,506968.0
2018-04-23,244150.0,455585.0
2018-04-24,416091.0,768247.0
2018-04-25,474648.0,853019.0
2018-04-26,254933.0,540917.0
2018-04-27,250240.0,429386.0
2018-04-30,180345.0,284652.0
2018-05-01,176855.0,311194.0
2018-05-02,179977.0,272911.0
2018-05-03,210842.0,370319.0
2018-05-04,241666.0,399646.0
2018-05-07,188863.0,296646.0
2018-05-08,131874.0,228277.0
2018-05-09,164140.0,286932.0
2018-05-10,123814.0,225415.0
2018-05-11,110294.0,207208.0
2018-05-14,128695.0,222935.0
2018-05-15,184199.0,297037.0
2018-05-16,102500.0,189675.0
2018-05-17,177595.0,325947.0
2018-05-18,86474.0,159792.0
2018-05-21,183954.0,358316.0
2018-05-22,165879.0,278147.0
2018-05-23,289844.0,461775.0
2018-05-24,417080.0,662971.0
2018-05-25,276322.0,462938.0
2018-05-29,236176.0,388253.0
2018-05-30,158875.0,253174.0
2018-05-31,187921.0,304353.0
2018-06-01,286456.0,400301.0
2018-06-04,237155.0,388857.0
2018-06-05,301908.0,459936.0
2018-06-06,246414.0,435805.0
2018-06-07,289923.0,440808.0
2018-06-08,181897.0,279069.0
2018-06-11,118499.0,210088.0
2018-06-12,106261.0,181908.0
2018-06-13,592666.0,856113.0
2018-06-14,480816.0,686585.0
2018-06-15,421454.0,729448.0
2018-06-18,163500.0,282855.0
2018-06-19,479747.0,760710.0
2018-06-20,398772.0,754850.0
2018-06-21,643647.0,888814.0
2018-06-22,356950.0,586290.0
2018-06-25,706629.0,1086072.0
2018-06-26,432521.0,617857.0
2018-06-27,667843.0,896676.0
2018-06-28,430548.0,644662.0
2018-06-29,335609.0,492934.0
2018-07-02,298755.0,391741.0
2018-07-03,164645.0,253876.0
2018-07-05,191926.0,292029.0
2018-07-06,240309.0,380449.0
2018-07-09,237047.0,412290.0
2018-07-10,211516.0,396990.0
2018-07-11,312428.0,516828.0
2018-07-12,301295.0,522748.0
2018-07-13,400060.0,735656.0
2018-07-16,463454.0,719077.0
2018-07-17,1085768.0,1801994.0
2018-07-18,266732.0,479950.0
2018-07-19,367273.0,553361.0
2018-07-20,298913.0,525984.0
2018-07-23,211050.0,428310.0
2018-07-24,233352.0,435914.0
2018-07-25,156639.0,354124.0
2018-07-26,207876.0,377484.0
2018-07-27,304542.0,527770.0
2018-07-30,466101.0,935941.0
2018-07-31,294211.0,639038.0
2018-08-01,218314.0,444979.0
2018-08-02,180805.0,396827.0
2018-08-03,198989.0,429596.0
2018-08-06,167375.0,310644.0
2018-08-07,147937.0,311748.0
2018-08-08,105188.0,219597.0
2018-08-09,95935.0,195682.0
2018-08-10,112447.0,232261.0
2018-08-13,147939.0,341433.0
2018-08-14,113242.0,239238.0
2018-08-15,272993.0,473982.0
2018-08-16,165307.0,325295.0
2018-08-17,263861.0,509388.0
2018-08-20,212205.0,391993.0
2018-08-21,174749.0,394968.0
2018-08-22,148059.0,302502.0
2018-08-23,173168.0,327727.0
2018-08-24,222714.0,454378.0
2018-08-27,267428.0,546234.0
2018-08-28,183827.0,300121.0
2018-08-29,154197.0,275602.0
2018-08-30,200059.0,409067.0
2018-08-31,156117.0,325536.0
2018-09-04,196173.0,321059.0
2018-09-05,306553.0,570187.0
2018-09-06,294102.0,504996.0
2018-09-07,238569.0,437981.0
2018-09-10,163519.0,269689.0
2018-09-11,197227.0,292999.0
2018-09-12,305760.0,459808.0
2018-09-13,252381.0,370998.0
2018-09-14,160902.0,249582.0
2018-09-17,196268.0,366559.0
2018-09-18,362661.0,584436.0
2018-09-19,272122.0,448684.0
2018-09-20,163730.0,286966.0
2018-09-21,241747.0,395833.0
2018-09-24,146081.0,391167.0
2018-09-25,80773.0,213611.0
2018-09-26,294519.0,657269.0
2018-09-27,157785.0,314408.0
2018-09-28,234297.0,485315.0
2018-10-01,212022.0,426198.0
2018-10-02,148644.0,377314.0
2018-10-03,128148.0,300373.0
2018-10-04,195590.0,429554.0
2018-10-05,292475.0,581512.0
2018-10-08,219509.0,429118.0
2018-10-09,166720.0,295522.0
2018-10-10,281050.0,609381.0
2018-10-11,304301.0,518095.0
2018-10-12,330685.0,636303.0
2018-10-15,170349.0,316660.0
2018-10-16,271113.0,602895.0
2018-10-17,662052.0,1144074.0
2018-10-18,275803.0,486818.0
2018-10-19,233587.0,451817.0
2018-10-22,225539.0,462272.0
2018-10-23,215095.0,465065.0
2018-10-24,308858.0,613306.0
2018-10-25,259773.0,498536.0
2018-10-26,266216.0,585452.0
2018-10-29,401463.0,697626.0
2018-10-30,398200.0,815129.0
2018-10-31,350537.0,703518.0
2018-11-01,218224.0,423261.0
2018-11-02,304335.0,469071.0
2018-11-05,181514.0,325033.0
2018-11-06,182007.0,296430.0
2018-11-07,159495.0,374733.0
2018-11-08,234783.0,391947.0
2018-11-09,291493.0,524308.0
2018-11-12,165776.0,308304.0
2018-11-13,180701.0,340810.0
2018-11-14,267809.0,511806.0
2018-11-15,157798.0,298424.0
2018-11-16,154620.0,320070.0
2018-11-19,212003.0,417386.0
2018-11-20,292156.0,618599.0
2018-11-21,259292.0,449787.0
2018-11-23,90225.0,184477.0
2018-11-26,176243.0,381407.0
2018-11-27,198624.0,336393.0
2018-11-28,270500.0,533031.0
2018-11-29,325246.0,529243.0
2018-11-30,299106.0,405844.0
2018-12-03,219372.0,442089.0
2018-12-04,217920.0,375575.0
2018-12-06,214018.0,430086.0
2018-12-07,293656.0,507746.0
2018-12-10,172828.0,331652.0
2018-12-11,167789.0,308265.0
2018-12-12,177454.0,330272.0
2018-12-13,155936.0,271878.0
2018-12-14,235535.0,396570.0
2018-12-17,238346.0,420727.0
2018-12-18,160214.0,312675.0
2018-12-19,313105.0,487250.0
2018-12-20,407555.0,593468.0
2018-12-21,442840.0,714600.0
2018-12-24,232801.0,356735.0
2018-12-26,362998.0,620711.0
2018-12-27,250263.0,419289.0
2018-12-28,239811.0,382308.0
2018-12-31,269741.0,421161.0
2019-01-02,199938.0,338756.0
2019-01-03,329208.0,434111.0
2019-01-04,568954.0,712198.0
2019-01-07,425933.0,599498.0
2019-01-08,343328.0,462344.0
2019-01-09,245884.0,341809.0
2019-01-10,250737.0,378452.0
2019-01-11,427753.0,614462.0
2019-01-14,148491.0,238798.0
2019-01-15,445599.0,633519.0
2019-01-16,239022.0,342613.0
2019-01-17,251517.0,401845.0
2019-01-18,549674.0,804297.0
2019-01-22,309276.0,473207.0
2019-01-23,263097.0,349121.0
2019-01-24,181451.0,227486.0
2019-01-25,399857.0,482439.0
2019-01-28,170989.0,215600.0
2019-01-29,158819.0,199821.0
2019-01-30,205501.0,261651.0
2019-01-31,164137.0,226146.0
2019-02-01,266887.0,393072.0
2019-02-04,151921.0,202920.0
2019-02-05,174581.0,261845.0
2019-02-06,132340.0,187082.0
2019-02-07,170520.0,253603.0
2019-02-08,169256.0,249875.0
2019-02-11,90645.0,140145.0
2019-02-12,154627.0,213704.0
2019-02-13,174374.0,269932.0
2019-02-14,146506.0,199726.0
2019-02-15,172333.0,266555.0
2019-02-19,99180.0,198515.0
2019-02-20,129539.0,216562.0
2019-02-21,132020.0,203289.0
2019-02-22,106594.0,207334.0
2019-02-25,96391.0,150199.0
2019-02-26,68541.0,121719.0
2019-02-27,107834.0,170175.0
2019-02-28,111521.0,173038.0
2019-03-01,109666.0,194057.0
2019-03-04,137633.0,229046.0
2019-03-05,123022.0,192629.0
2019-03-06,130692.0,220548.0
2019-03-07,151744.0,231788.0
2019-03-08,148888.0,273667.0
2019-03-11,118806.0,207255.0
2019-03-12,112948.0,190811.0
2019-03-13,147679.0,249394.0
2019-03-14,132085.0,210909.0
2019-03-15,190844.0,269761.0
2019-03-18,132825.0,228551.0
2019-03-19,177167.0,294543.0
2019-03-20,291584.0,521094.0
2019-03-21,203907.0,397335.0
2019-03-22,263528.0,458330.0
2019-03-25,200465.0,298572.0
2019-03-26,197860.0,316792.0
2019-03-27,175116.0,294136.0
2019-03-28,108369.0,186843.0
2019-03-29,131077.0,208163.0
2019-04-01,140531.0,242613.0
2019-04-02,123658.0,201858.0
2019-04-03,138074.0,210973.0
2019-04-04,103479.0,191837.0
2019-04-05,106959.0,201745.0
2019-04-08,104922.0,172208.0
2019-04-09,124831.0,201889.0
2019-04-10,87125.0,157091.0
2019-04-11,112424.0,240675.0
2019-04-12,364920.0,626340.0
2019-04-15,141858.0,240586.0
2019-04-16,251667.0,449244.0
2019-04-17,400918.0,603837.0
2019-04-18,205367.0,339630.0
2019-04-22,219466.0,433691.0
2019-04-23,191226.0,334356.0
2019-04-24,158934.0,253778.0
2019-04-25,180760.0,298762.0
2019-04-26,116871.0,225689.0
2019-04-29,58777.0,108238.0
2019-04-30,70796.0,117548.0
2019-05-01,158378.0,285173.0
2019-05-02,110680.0,179724.0
2019-05-03,106729.0,206385.0
2019-05-06,126053.0,233382.0
2019-05-07,182856.0,277142.0
2019-05-08,182273.0,303140.0
2019-05-09,146670.0,239429.0
2019-05-10,159009.0,287466.0
2019-05-13,177210.0,307541.0
2019-05-14,153917.0,251415.0
2019-05-15,185627.0,295815.0
2019-05-16,188889.0,348390.0
2019-05-17,127443.0,267735.0
2019-05-20,153203.0,229623.0
2019-05-21,91785.0,146491.0
2019-05-22,144134.0,253204.0
2019-05-23,141959.0,229337.0
2019-05-24,141840.0,229302.0
2019-05-28,104472.0,155910.0
2019-05-29,145953.0,221537.0
2019-05-30,92346.0,162273.0
2019-05-31,202729.0,337544.0
2019-06-03,207660.0,375488.0
2019-06-04,202312.0,424031.0
2019-06-05,135341.0,252854.0
2019-06-06,89890.0,155214.0
2019-06-07,191903.0,341224.0
2019-06-10,247877.0,417435.0
2019-06-11,125113.0,236747.0
2019-06-12,143932.0,272791.0
2019-06-13,191037.0,364963.0
2019-06-14,204320.0,384698.0
2019-06-17,174281.0,327626.0
2019-06-18,178091.0,401620.0
2019-06-19,152142.0,325793.0
2019-06-20,189394.0,461054.0
2019-06-21,246893.0,471249.0
2019-06-24,119089.0,238724.0
2019-06-25,173222.0,340230.0
2019-06-26,84727.0,179905.0
2019-06-27,118018.0,263180.0
2019-06-28,130910.0,263705.0
2019-07-01,131158.0,294430.0
2019-07-02,143847.0,243781.0
2019-07-03,126522.0,270363.0
2019-07-05,134006.0,238993.0
2019-07-08,72551.0,161256.0
2019-07-09,184689.0,436694.0
2019-07-10,154441.0,290610.0
2019-07-11,141704.0,308161.0
2019-07-12,234168.0,485358.0
2019-07-15,233961.0,377469.0
2019-07-16,121867.0,241034.0
2019-07-17,284489.0,554234.0
2019-07-18,541443.0,1473164.0
2019-07-19,397663.0,787899.0
2019-07-22,372596.0,773979.0
2019-07-23,222830.0,404664.0
2019-07-24,297354.0,672522.0
2019-07-25,244073.0,624576.0
2019-07-26,302451.0,826521.0
2019-07-29,141893.0,298014.0
2019-07-30,168348.0,318537.0
2019-07-31,185106.0,342362.0
2019-08-01,227736.0,422745.0
2019-08-02,271169.0,499245.0
2019-08-05,395020.0,609022.0
2019-08-06,191154.0,380027.0
2019-08-07,310028.0,607403.0
2019-08-08,206900.0,438536.0
2019-08-09,163313.0,335997.0
2019-08-12,157848.0,321040.0
2019-08-13,146017.0,294747.0
2019-08-14,329536.0,520425.0
2019-08-15,335733.0,738803.0
2019-08-16,342070.0,557063.0
2019-08-19,200176.0,386109.0
2019-08-20,276256.0,506497.0
2019-08-21,185345.0,392048.0
2019-08-22,156137.0,325292.0
2019-08-23,262538.0,498854.0
2019-08-26,173941.0,383740.0
2019-08-27,232876.0,507373.0
2019-08-28,151216.0,354228.0
2019-08-29,171674.0,381654.0
2019-08-30,220655.0,419604.0
2019-09-03,157368.0,297722.0
2019-09-04,217240.0,408083.0
2019-09-05,390412.0,792824.0
2019-09-06,219227.0,493198.0
2019-09-09,226701.0,560744.0
2019-09-10,426149.0,937935.0
2019-09-11,232318.0,530023.0
2019-09-12,193970.0,411926.0
